2026-01-11 22:52:32 | INFO | P03 | === RUN START ===
2026-01-11 22:52:32 | INFO | P03 | project=Analytics: Read, Process, and Write Data
2026-01-11 22:52:32 | INFO | P03 | repo_dir=datafun-03-analytics
2026-01-11 22:52:32 | INFO | P03 | python=3.14.0
2026-01-11 22:52:32 | INFO | P03 | os=Windows 11
2026-01-11 22:52:32 | INFO | P03 | shell=powershell
2026-01-11 22:52:32 | INFO | P03 | cwd=.
2026-01-11 22:52:32 | INFO | P03 | github_actions=False
2026-01-11 22:52:32 | INFO | P03 | START main()
2026-01-11 22:52:32 | INFO | P03 | END main()
2026-01-11 22:52:37 | INFO | P03 | END main()
